# idx_agent, n_neighbours_in, indices_neighbours_in[...], weights_in[...]
    0,     5,     4,    12,    17,    18,     0,       0.26529719330369905,       0.27470269814752424,       0.23838918856509247,       0.16491787227128268,       0.05669304771240153
    1,     5,     7,    10,    14,    17,     1,        0.1723125799006238,       0.15237787946061931,        0.1743929985945665,       0.13225509827452211,        0.3686614437696684
    2,     5,     0,     3,     6,    15,     2,        0.2012377970716371,        0.2766234975374838,        0.1958228114277024,       0.19784288115187676,       0.12847301281130002
    3,     5,     0,     9,    15,    16,     3,       0.24565177946925887,       0.21302879656325716,        0.2852274374490626,        0.2227758971707417,       0.03331608934767977
    4,     5,    11,    13,    16,    18,     4,       0.16573998806372883,       0.16720019252946725,       0.11402494291160763,      0.037019262478262864,        0.5160156140169334
    5,     5,     9,    10,    12,    15,     5,       0.17643082298220675,       0.11162708652136173,       0.32583922202739724,       0.12212102770195683,        0.2639818407670774
    6,     5,     1,     5,    11,    14,     6,        0.1757027243251029,       0.25929518338866764,        0.2079925784253286,       0.24738151897797167,       0.10962799488292896
    7,     5,     6,     8,    13,    18,     7,        0.6815790605011212,      0.014924328348885378,       0.10390479135682051,       0.00732056207982558,        0.1922712577133474
    8,     5,     1,     3,     6,     9,     8,       0.25974093740962795,        0.3004925649923733,     0.0074481393486750605,       0.18948662614512737,       0.24283173210419629
    9,     5,     7,     8,    13,    16,     9,        0.2556702646810396,       0.08450627241252644,       0.26710087804138216,       0.10830908602023646,       0.28441349884481537
   10,     5,     1,     4,    12,    19,    10,       0.01821396668148236,        0.4094836616391018,       0.26280006476388584,         0.046568653725991,       0.26293365318953904
   11,     5,     1,     3,     8,    10,    11,       0.23371358824240332,       0.24274867207717227,       0.19679635833269182,        0.2390122212178374,       0.08772916012989508
   12,     5,     5,     8,     9,    10,    12,      0.015446870694283599,       0.35952523120461466,       0.08203409405627729,       0.03740776076200192,        0.5055860432828225
   13,     5,     1,     4,    17,    19,    13,       0.15588508928835165,       0.11836247850551028,        0.2466514566577405,        0.2175375762987044,       0.26156339924969313
   14,     5,     1,     9,    11,    17,    14,        0.1687588505180858,        0.3043428089686921,      0.008194703019913296,       0.17169352141156288,         0.347010116081746
   15,     5,     3,     5,     7,    14,    15,        0.1634507034645481,       0.25565359955295164,      0.015956655014272795,       0.43164542626894037,       0.13329361569928716
   16,     5,     4,     8,    11,    12,    16,        0.3550138796584278,       0.12537629067252432,        0.0080486700113009,        0.3425748310697055,       0.16898632858804147
   17,     5,     4,     9,    10,    19,    17,       0.29425815520383314,       0.31524094289977467,      0.015065030766633335,         0.289437982973859,        0.0859978881558998
   18,     5,    10,    15,    16,    17,    18,       0.16348853097150426,      0.019858359618407057,        0.2589156915917409,         0.335069013810346,        0.2226684040080019
   19,     5,     5,     7,    11,    14,    19,       0.20950594323925983,       0.33642409967283765,       0.24107364694854722,      0.020756996192013977,       0.19223931394734134
