# idx_agent, opinion
    0,        0.4520522504254194
    1,        0.4520526107027568
    2,        0.4520538949405723
    3,       0.45205360264988326
    4,        0.4520481975753896
    5,       0.45205738381664995
    6,       0.45205437315939867
    7,        0.4520552601969909
    8,        0.4520535356969611
    9,       0.45205522867053943
   10,        0.4520502686000873
   11,       0.45205160846453335
   12,       0.45205659907749596
   13,        0.4520542466473824
   14,        0.4520538277240804
   15,       0.45205525317854944
   16,       0.45205184073575416
   17,       0.45205374384027364
   18,        0.4520516440967056
   19,        0.4520568367807897
