# idx_agent, opinion
    0,       0.45205299735672627
    1,       0.45205336246002525
    2,        0.4520537422937217
    3,       0.45205357012746367
    4,       0.45205225666753046
    5,        0.4520541860881081
    6,        0.4520537963238619
    7,        0.4520539256918096
    8,       0.45205362376338687
    9,       0.45205371815076273
   10,       0.45205262114357714
   11,       0.45205314354717047
   12,       0.45205403745501693
   13,        0.4520533502796121
   14,        0.4520536988459749
   15,         0.452054149220237
   16,       0.45205301132207426
   17,       0.45205327922306326
   18,       0.45205283826707215
   19,       0.45205399488337694
