# idx_agent, opinion
    0,        0.4520513372143105
    1,       0.45205169899310327
    2,       0.45205460201959685
    3,        0.4520534044233916
    4,        0.4520444331621084
    5,       0.45206042704534394
    6,        0.4520549343343515
    7,       0.45205696915566707
    8,        0.4520535826335681
    9,        0.4520561464298643
   10,        0.4520483700507014
   11,        0.4520507921660728
   12,       0.45205930943629324
   13,       0.45205481295129746
   14,        0.4520526891790662
   15,        0.4520556944604229
   16,       0.45205101966068184
   17,        0.4520542559458014
   18,       0.45205048255775876
   19,        0.4520607203423319
